rut,nombre,correo,telefono,rol,empresa,fecha creacion
24168165-3,flavia mateo chacon,flavia.mateo.chacon@gmail.com,961293529,Ejecutivo,14305598-1 Microsoft,7/10/2021
19925685-8,francisco javier ortuño,francisco.javier.ortuño@yahoo.es,999208609,Ejecutivo,12043514-0 China Construction Bank,15/10/2021
7649360-k,francisco pazos-peña vidal,francisco.pazos-peña.vidal@yahoo.es,935318400,Encargado,6737982-9 Apple,20/08/2021
11937133-3,fulgencio peinado cisneros,fulgencio.peinado.cisneros@gmail.com,906224400,Ejecutivo,12043514-0 China Construction Bank,17/02/2021
14314886-6,hilario esteban miro,hilario.esteban.miro@hotmail.com,973667023,Operador,10882185-k SoftBank Group,23/06/2021
22007021-2,iban villanueva gaya,iban.villanueva.gaya@hotmail.com,908309835,Gestor,23690053-3 Berkshire Hathaway,16/06/2021
7892094-7,isidoro torrijos ayala,isidoro.torrijos.ayala@hotmail.com,923990021,Gestor,6737982-9 Apple,21/01/2021
7141511-2,jacinto blasco calatayud,jacinto.blasco.calatayud@gmail.com,914047806,Ejecutivo,10882185-k SoftBank Group,4/02/2021
21899480-6,jafet del izaguirre,jafet.del.izaguirre@yahoo.es,991664125,Gestor,6737982-9 Apple,26/05/2021
21313021-8,jesusa cortes-bejarano solis,jesusa.cortes-bejarano.solis@hotmail.com,919796172,Ejecutivo,22724464-k Agricultural Bank of China,15/06/2021
22537935-1,juan antonio cortes-vergara,juan.antonio.cortes-vergara@hotmail.com,994018768,Ejecutivo,6737982-9 Apple,13/09/2021
23509369-3,lola camara rossello,lola.camara.rossello@yahoo.es,937507655,Gestor,12043514-0 China Construction Bank,9/02/2021
22615548-1,marco alfonso rius,marco.alfonso.rius@gmail.com,928582123,Operador,24566099-5 Industrial & Commercial Bank of China,2/05/2021
10425328-8,maria del camacho,maria.del.camacho@gmail.com,981039662,Gestor,6737982-9 Apple,5/03/2021
7297115-9,maria pilar alfaro,maria.pilar.alfaro@gmail.com,999871654,Gestor,6737982-9 Apple,22/03/2021
10299976-2,maricruz escolano vidal,maricruz.escolano.vidal@gmail.com,973042743,Operador,12043514-0 China Construction Bank,5/05/2021
11401919-4,martin de olivera,martin.de.olivera@yahoo.es,986328728,Gestor,22724464-k Agricultural Bank of China,9/02/2021
6361027-5,natalio losada artigas,natalio.losada.artigas@yahoo.es,901470156,Ejecutivo,6737982-9 Apple,2/04/2021
19451030-6,olivia peñas guerrero,olivia.peñas.guerrero@gmail.com,986863993,Operador,24566099-5 Industrial & Commercial Bank of China,16/06/2021
7991718-4,plinio jove barbera,plinio.jove.barbera@gmail.com,914065787,Encargado,23690053-3 Berkshire Hathaway,24/02/2021
14349818-2,ramiro mariño pozo,ramiro.mariño.pozo@hotmail.com,938317294,Encargado,14305598-1 Microsoft,1/03/2021
8668030-0,rodrigo asenjo redondo,rodrigo.asenjo.redondo@gmail.com,995087591,Ejecutivo,6409492-0 Facebook,25/09/2021
8234214-1,rogelio español caceres,rogelio.español.caceres@gmail.com,920158346,Gestor,12039291-3 Saudi Aramco,3/09/2021
11515373-0,roque oliveras toledo,roque.oliveras.toledo@hotmail.com,900299120,Gestor,14305598-1 Microsoft,5/03/2021
9501888-2,ruth jordan pacheco,ruth.jordan.pacheco@yahoo.es,963589283,Ejecutivo,11578774-8 Alphabet,21/09/2021
11546531-7,salomon bernardo cobos,salomon.bernardo.cobos@gmail.com,940332347,Ejecutivo,24566099-5 Industrial & Commercial Bank of China,5/01/2021
18863125-8,samuel serna jurado,samuel.serna.jurado@yahoo.es,975465988,Operador,12039291-3 Saudi Aramco,3/08/2021
19545422-1,severo murcia llorente,severo.murcia.llorente@gmail.com,904228262,Operador,23690053-3 Berkshire Hathaway,13/07/2021
13656607-5,tomasa criado castell,tomasa.criado.castell@gmail.com,972984726,Ejecutivo,10882185-k SoftBank Group,10/06/2021
7347506-6,viviana donaire busquets,viviana.donaire.busquets@hotmail.com,955799228,Ejecutivo,14305598-1 Microsoft,18/08/2021
11901999-0,xiomara de coello,xiomara.de.coello@yahoo.es,969996442,Encargado,14305598-1 Microsoft,6/07/2021
